hostname,pl_orbsmax,pl_bmassj,pl_radj
"KELT-18",0.045500,1.18000,1.570
"KELT-20",0.054200,3.38200,1.741
"KELT-3",0.041220,1.47700,1.345
"HD 219134",0.038200,0.01364,0.143
"K2-3",0.077500,0.02643,0.185
"GJ 414 A",1.400000,0.16937,0.749
"HD 97658",0.079600,0.02473,0.209
"K2-266",0.013060,0.03545,0.294
"HAT-P-1",0.055100,0.53000,1.360
"HAT-P-29",0.066500,0.76700,1.064
"HD 114762",0.353000,10.98000,1.110
"K2-266",0.124900,0.04499,0.244
"GJ 9827",0.018880,0.01076,0.145
"KELT-19 A",0.063700,4.07000,1.910
"WASP-173 A",0.025080,3.47000,1.285
"WASP-45",0.039630,0.96400,0.946
"K2-329",0.101600,0.26000,0.774
"KELT-11",0.062290,0.19500,1.370
"WASP-19",0.016550,1.16800,1.386
"K2-3",0.140500,0.00661,0.147
"KELT-16",0.020440,2.75000,1.415
"TOI-763",0.060000,0.03080,0.203
"GJ 9827",0.056150,0.01636,0.185
"HAT-P-32",0.033970,0.68000,1.980
"KELT-23 A",0.033020,0.93800,1.323
"KELT-17",0.048810,1.31000,1.525
"HD 89345",0.106600,0.11000,0.660
"CT Cha",440.000000,17.00000,2.200
"HAT-P-7",0.035500,1.78100,1.419
"HATS-44",0.036490,0.56000,1.067
"Kepler-434",0.114300,2.86000,1.130
"WASP-82",0.044700,1.24000,1.670
"HD 213885",0.020120,0.02778,0.156
"HD 15337",0.052450,0.02265,0.152
"WASP-83",0.059000,0.30000,1.040
"PDS 70",20.000000,3.00000,2.720
"KOI-3680",0.534000,1.93000,0.990
"WASP-83",0.059000,0.30500,1.040
"KPS-1",0.026900,1.09000,1.030
"Kepler-6",0.044480,0.64700,1.169
"KELT-20",0.057000,17.00000,1.830
"WASP-11",0.043500,0.48700,1.005
"HAT-P-25",0.046590,0.56700,1.190
"WASP-17",0.051250,0.47700,1.932
"TrES-2",0.036700,1.28000,1.240
"K2-34",0.044190,1.76000,1.350
"HAT-P-41",0.042580,0.79500,1.685
"WASP-57",0.038600,0.67200,0.916
"Kepler-424",0.044000,1.03000,0.890
"XO-2 N",0.036840,0.56600,0.983
"Kepler-31",0.260000,4.70000,0.473
"WASP-95",0.034160,1.13000,1.210
"Kepler-46",0.196800,6.00000,0.808
"Kepler-101",0.068400,0.01000,0.112
"WASP-68",0.062060,0.95000,1.240
"TOI-216",0.206900,0.62927,1.007
"Kepler-538",0.466900,0.03335,0.198
"HATS-40",0.049970,1.59000,1.580
"TrES-4",0.051590,0.49800,1.838
"NGTS-11",0.201000,0.34400,0.817
"CoRoT-2",0.028100,3.31000,1.465
"Kepler-43",0.044900,3.23000,1.200
"WASP-1",0.038980,0.86000,1.484
"K2-139",0.179000,0.38700,0.808
"TOI-628",0.048600,6.33000,1.060
"KELT-4 A",0.043170,0.90200,1.699
"K2-32",0.080360,0.05191,0.458
"K2-32",0.186200,0.03241,0.306
"K2-32",0.139900,0.03807,0.269
"TOI-1235",0.038450,0.02174,0.155
"TOI-1235",0.038260,0.01856,0.151
"TOI-269",0.034500,0.02769,0.247
"CFHTWIR-Oph 98 A",200.000000,7.80000,1.860
"K2-32",0.079500,0.04720,0.473
"K2-32",0.138430,0.02549,0.280
"K2-32",0.184220,0.02108,0.311
"K2-32",0.048990,0.00661,0.108
"K2-233",0.033080,0.03543,0.120
"K2-233",0.066660,0.04030,0.114
"K2-233",0.152240,0.06651,0.210
"HD 221416",0.122800,0.19000,0.836
"WASP-61",0.052100,2.06000,1.210
"WASP-22",0.046980,0.58800,1.158
"WASP-69",0.045250,0.26000,1.057
"WASP-87",0.029460,2.18000,1.385
"WASP-43",0.015040,1.99800,1.006
"WASP-180 A",0.048000,0.90000,1.240
"WASP-78",0.036700,0.86000,2.060
"HAT-P-20",0.035930,7.22000,1.025
"WASP-79",0.051900,0.85000,1.530
"WASP-52",0.027200,0.46000,1.270
"CoRoT-11",0.043510,2.49000,1.390
"CoRoT-1",0.026100,1.13000,1.480
"WASP-60",0.055480,0.56000,1.225
"HAT-P-70",0.047390,6.78000,1.870
"WASP-84",0.077500,0.68700,0.976
"WASP-62",0.057100,0.58000,1.340
"WASP-66",0.054600,2.32000,1.390
"WASP-31",0.046570,0.47800,1.537
"WASP-18",0.020200,10.11000,1.267
"WASP-4",0.023120,1.23700,1.413
"CoRoT-2",0.027980,3.47000,1.466
"HAT-P-7",0.032000,1.77600,1.363
"WASP-17",0.050000,0.45300,1.986
"WASP-15",0.049900,0.55100,1.379
"WASP-25",0.047300,0.58000,1.220
"WASP-71",0.046190,2.24200,1.460
"HATS-3",0.048500,1.07100,1.381
"HAT-P-27",0.040000,0.62000,1.020
"HATS-2",0.023000,1.34500,1.168
"WASP-5",0.027090,1.55500,1.140
"HD 80606",0.449000,3.94000,0.980
"WASP-21",0.052000,0.30000,1.070
"WASP-38",0.075800,2.71000,1.090
"WASP-41",0.041000,0.97700,1.178
"HAT-P-22",0.041710,2.19200,1.060
"Kepler-30",0.180000,0.03600,0.348
"WASP-5",0.027020,1.56800,1.167
"Kepler-411",0.073900,0.08306,0.394
"Kepler-411",0.037500,0.08055,0.214
"Kepler-411",0.279000,0.04782,0.296
"HD 189733",0.031000,1.10000,1.100
"GJ 436",0.029000,0.07300,0.380
"HD 209458",0.047000,0.69000,1.400
"Kepler-30",0.300000,2.01000,1.097
"Kepler-423",0.035850,0.59500,1.192
"CoRoT-10",0.106000,2.78000,0.941
"CoRoT-3",0.057830,21.96000,1.037
"CoRoT-5",0.050040,0.47000,1.182
"WASP-82",0.044800,1.25000,1.710
"WASP-77 A",0.024000,1.80000,1.200
"HAT-P-6",0.052350,1.05700,1.330
"Kepler-79",0.187000,0.01900,0.332
"WASP-88",0.064310,0.56000,1.700
"HATS-11",0.046140,0.85000,1.510
"WASP-67",0.051000,0.40600,1.091
"HATS-36",0.054250,3.21600,1.235
"K2-27",0.067020,0.09722,0.400
"NGTS-2",0.063000,0.74000,1.595
"HD 149026",0.043640,0.32200,0.811
"OGLE-TR-132",0.030360,2.70000,1.200
"WASP-141",0.046900,2.69000,1.210
"K2-108",0.057300,0.18689,0.471
"TRAPPIST-1",0.045100,0.00422,0.101
"WASP-43",0.014200,1.78000,0.930
"WASP-46",0.024480,2.10100,1.310
"Kepler-30",0.500000,17.00000,0.946
"WASP-74",0.037000,0.95000,1.560
"CoRoT-18",0.028600,3.27000,1.251
"HAT-P-9",0.052900,0.77800,1.380
"OGLE-TR-113",0.022650,1.23000,1.088
"WASP-4",0.023180,1.24900,1.364
"HAT-P-34",0.067700,3.32800,1.197
"WASP-98",0.037620,0.92200,1.144
"Kepler-80",0.064800,0.02180,0.238
"HAT-P-7",0.036760,1.68200,1.491
"Kepler-23",0.099000,2.70000,0.285
"WASP-23",0.037600,0.88400,0.962
"Kepler-28",0.081000,1.36000,0.303
"Kepler-25",0.110000,4.16000,0.401
"HATS-13",0.040570,0.54300,1.212
"WASP-145 A",0.026100,0.89000,0.900
"HAT-P-21",0.049400,4.06300,1.024
"NGTS-5",0.038200,0.22900,1.136
"CoRoT-7",0.017200,0.06600,0.150
"WASP-119",0.036300,1.23000,1.400
"Kepler-15",0.058300,0.69600,1.289
"Kepler-23",0.075000,0.80000,0.170
"Kepler-62",0.427000,0.11300,0.144
"Kepler-31",0.400000,6.80000,0.348
"HAT-P-7",0.038130,1.80600,1.510
"Kepler-62",0.120000,0.04400,0.174
"Kepler-30",0.500000,0.07300,0.785
"Kepler-425",0.046400,0.25000,0.978
"Kepler-10",0.241000,0.04399,0.210
"KOI-94",0.051190,0.03300,0.153
"Kepler-289",0.210000,0.02300,0.192
"HAT-P-26",0.047900,0.05900,0.565
"HAT-P-29",0.066700,0.77800,1.107
"HAT-P-2",0.068000,8.90000,1.100
"HAT-P-36",0.023820,1.85000,1.264
"HAT-P-3",0.038420,0.58400,0.947
"GJ 436",0.028720,0.07290,0.377
"HAT-P-5",0.040730,1.02000,1.254
"CoRoT-10",0.105500,2.75000,0.970
"CoRoT-13",0.051070,1.33100,0.885
"CoRoT-14",0.026870,7.67000,1.018
